,per_capita_income,median_household_income,median_family_income,population,num_of_households,name,Division Name,School Year,Division Number,Subject,Pass Rate
106,18670.0,36142.0,44882.0,30042.0,12831.0,Carroll County,Carroll County,2018-2019,18.0,Mathematics,86.04
107,18396.0,35813.0,41130.0,18490.0,8081.0,Patrick County,Patrick County,2018-2019,70.0,Mathematics,95.21
108,23233.0,35760.0,47995.0,12389.0,5323.0,Northampton County,Northampton County,2018-2019,65.0,Mathematics,75.19
109,20781.0,35277.0,47188.0,5961.0,2632.0,Covington City,Covington City,2018-2019,107.0,Mathematics,72.22
110,19016.0,35215.0,43428.0,45078.0,18449.0,Tazewell County,Tazewell County,2018-2019,92.0,Mathematics,81.11
111,16739.0,35184.0,43018.0,17434.0,6366.0,Brunswick County,Brunswick County,2018-2019,13.0,Mathematics,90.35
112,17348.0,34881.0,48266.0,12586.0,5109.0,Charlotte County,Charlotte County,2018-2019,20.0,Mathematics,83.94
113,19906.0,34864.0,43790.0,32208.0,13319.0,Smyth County,Smyth County,2018-2019,86.0,Mathematics,82.9
114,16752.0,34720.0,43589.0,17146.0,5965.0,Buckingham County,Buckingham County,2018-2019,15.0,Mathematics,87.07
115,19909.0,34705.0,44518.0,36241.0,15085.0,Halifax County,Halifax County,2018-2019,41.0,Mathematics,64.26
116,18667.0,34250.0,43112.0,23177.0,9775.0,Scott County,Scott County,2018-2019,84.0,Mathematics,85.34
117,19206.0,34086.0,42637.0,54151.0,23151.0,Henry County,Henry County,2018-2019,44.0,Mathematics,84.27
118,24145.0,33944.0,49775.0,3958.0,1750.0,Norton City,Norton City,2018-2019,119.0,Mathematics,96.27
119,17944.0,33608.0,41625.0,41452.0,15968.0,Wise County,Wise County,2018-2019,96.0,Mathematics,90.32
120,19453.0,33174.0,41821.0,8582.0,3530.0,Franklin City,Franklin City,2018-2019,135.0,Mathematics,75.15
121,19245.0,32788.0,39410.0,5927.0,2316.0,Emporia City,Emporia City,,,,
122,17909.0,32780.0,42648.0,28897.0,11943.0,Russell County,Russell County,2018-2019,83.0,Mathematics,83.66
123,19766.0,32408.0,43176.0,13821.0,6084.0,Martinsville City,Martinsville City,2018-2019,116.0,Mathematics,96.91
124,20092.0,32262.0,41026.0,6222.0,2627.0,Bedford City,Bedford City,,,,
125,19499.0,32178.0,40205.0,15533.0,6846.0,Grayson County,Grayson County,2018-2019,38.0,Mathematics,78.08
126,19700.0,32079.0,39212.0,17835.0,7879.0,Bristol City,Bristol City,2018-2019,102.0,Mathematics,76.21
