"School Year","Division Number","Division Name","School Number","School Name","Subject","Test Source","Pass Rate"
"2018-2019","24","Culpeper County","581","Floyd T. Binns Middle","Mathematics","SOL","84.68"
"2018-2019","24","Culpeper County","10","Pearl Sample Elementary","Mathematics","SOL","76.49"
"2018-2019","24","Culpeper County","460","Sycamore Park Elementary","Mathematics","SOL","76.92"
"2018-2019","24","Culpeper County","40","Yowell Elementary","Mathematics","SOL","87.11"
"2018-2019","25","Cumberland County","140","Cumberland Elementary","Mathematics","SOL","86.47"
"2018-2019","25","Cumberland County","151","Cumberland High","Mathematics","SOL","70.06"
"2018-2019","25","Cumberland County","152","Cumberland Middle","Mathematics","SOL","73.72"
"2018-2019","108","Danville City","490","Edwin A. Gibson Elementary","Mathematics","SOL","47.45"
"2018-2019","108","Danville City","20","Forest Hills Elementary","Mathematics","SOL","81.75"
"2018-2019","108","Danville City","190","G.L.H. Johnson Elementary","Mathematics","SOL","53.66"
"2018-2019","108","Danville City","1374","Galileo Magnet High","Mathematics","SOL","95.20"
"2018-2019","108","Danville City","210","George Washington High","Mathematics","SOL","55.56"
"2018-2019","108","Danville City","260","O. Trent Bonner Middle","Mathematics","SOL","34.12"
"2018-2019","108","Danville City","250","Park Avenue Elementary","Mathematics","SOL","53.94"
"2018-2019","108","Danville City","40","Schoolfield Elementary","Mathematics","SOL","74.70"
"2018-2019","108","Danville City","1372","Westwood Middle","Mathematics","SOL","47.98"
"2018-2019","108","Danville City","220","Woodberry Hills Elementary","Mathematics","SOL","44.12"
"2018-2019","108","Danville City","1379","Woodrow Wilson Intermediate","Mathematics","SOL","30.77"
"2018-2019","26","Dickenson County","20","Clintwood Elementary","Mathematics","SOL","92.89"
"2018-2019","26","Dickenson County","530","Ervinton Elementary","Mathematics","SOL","86.67"
"2018-2019","26","Dickenson County","275","Ridgeview High","Mathematics","SOL","87.56"
"2018-2019","26","Dickenson County","280","Ridgeview Middle","Mathematics","SOL","87.47"
"2018-2019","26","Dickenson County","860","Sandlick Elementary","Mathematics","SOL","93.68"
"2018-2019","27","Dinwiddie County","500","Dinwiddie County High","Mathematics","SOL","75.44"
"2018-2019","27","Dinwiddie County","471","Dinwiddie County Middle","Mathematics","SOL","73.70"
"2018-2019","27","Dinwiddie County","310","Dinwiddie Elementary","Mathematics","SOL","86.67"
"2018-2019","27","Dinwiddie County","250","Midway Elementary","Mathematics","SOL","96.86"
"2018-2019","27","Dinwiddie County","10","Southside Elementary","Mathematics","SOL","88.89"
"2018-2019","27","Dinwiddie County","180","Sunnyside Elementary","Mathematics","SOL","91.54"
"2018-2019","27","Dinwiddie County","520","Sutherland Elementary","Mathematics","SOL","90.16"
"2018-2019","28","Essex County","10","Essex High","Mathematics","SOL","58.48"
"2018-2019","28","Essex County","150","Essex Intermediate","Mathematics","SOL","65.16"
"2018-2019","28","Essex County","160","Tappahannock Elementary","Mathematics","SOL","80.43"
"2018-2019","29","Fairfax County","2203","Aldrin Elementary","Mathematics","SOL","87.54"
"2018-2019","29","Fairfax County","660","Annandale High","Mathematics","SOL","76.71"
"2018-2019","29","Fairfax County","1360","Annandale Terrace Elementary","Mathematics","SOL","77.26"
"2018-2019","29","Fairfax County","110","Archer Elementary","Mathematics","SOL","94.44"
"2018-2019","29","Fairfax County","1530","Armstrong Elementary","Mathematics","SOL","80.80"
"2018-2019","29","Fairfax County","2459","Bailey's Upper Elementary School for the Arts and Sciences","Mathematics","SOL","72.22"
"2018-2019","29","Fairfax County","1730","Beech Tree Elementary","Mathematics","SOL","86.75"
"2018-2019","29","Fairfax County","560","Belle View Elementary","Mathematics","SOL","83.67"
"2018-2019","29","Fairfax County","720","Belvedere Elementary","Mathematics","SOL","91.39"
"2018-2019","29","Fairfax County","2000","Bonnie Brae Elementary","Mathematics","SOL","88.24"
"2018-2019","29","Fairfax County","1090","Braddock Elementary","Mathematics","SOL","79.80"
"2018-2019","29","Fairfax County","940","Bren Mar Park Elementary","Mathematics","SOL","85.90"
"2018-2019","29","Fairfax County","1790","Brookfield Elementary","Mathematics","SOL","76.86"
"2018-2019","29","Fairfax County","2201","Bryant High","Mathematics","SOL","28.57"
"2018-2019","29","Fairfax County","700","Bucknell Elementary","Mathematics","SOL","77.68"
"2018-2019","29","Fairfax County","2225","Bull Run Elementary","Mathematics","SOL","80.88"
"2018-2019","29","Fairfax County","680","Bush Hill Elementary","Mathematics","SOL","87.20"
"2018-2019","29","Fairfax County","1940","Camelot Elementary","Mathematics","SOL","90.94"
"2018-2019","29","Fairfax County","620","Cameron Elementary","Mathematics","SOL","73.62"
"2018-2019","29","Fairfax County","1590","Canterbury Woods Elementary","Mathematics","SOL","96.64"
"2018-2019","29","Fairfax County","1690","Cardinal Forest Elementary","Mathematics","SOL","86.83"
"2018-2019","29","Fairfax County","2222","Carson Middle","Mathematics","SOL","94.97"
"2018-2019","29","Fairfax County","2090","Centre Ridge Elementary","Mathematics","SOL","70.84"
"2018-2019","29","Fairfax County","2205","Centreville Elementary","Mathematics","SOL","82.98"
"2018-2019","29","Fairfax County","200","Centreville High","Mathematics","SOL","86.84"
"2018-2019","29","Fairfax County","131","Chantilly High","Mathematics","SOL","94.77"
"2018-2019","29","Fairfax County","480","Cherry Run Elementary","Mathematics","SOL","90.68"
"2018-2019","29","Fairfax County","100","Chesterbrook Elementary","Mathematics","SOL","96.66"
"2018-2019","29","Fairfax County","1050","Churchill Road Elementary","Mathematics","SOL","94.17"
"2018-2019","29","Fairfax County","260","Clearview Elementary","Mathematics","SOL","83.12"
"2018-2019","29","Fairfax County","1870","Clermont Elementary","Mathematics","SOL","87.61"
"2018-2019","29","Fairfax County","2347","Coates Elementary","Mathematics","SOL","84.33"
"2018-2019","29","Fairfax County","1510","Columbia Elementary","Mathematics","SOL","87.65"
"2018-2019","29","Fairfax County","2234","Colvin Run Elementary","Mathematics","SOL","96.55"
"2018-2019","29","Fairfax County","1190","Cooper Middle","Mathematics","SOL","96.28"
"2018-2019","29","Fairfax County","870","Crestwood Elementary","Mathematics","SOL","68.86"
"2018-2019","29","Fairfax County","2020","Crossfield Elementary","Mathematics","SOL","93.19"
"2018-2019","29","Fairfax County","1600","Cub Run Elementary","Mathematics","SOL","87.54"
"2018-2019","29","Fairfax County","1700","Cunningham Park Elementary","Mathematics","SOL","81.15"
"2018-2019","29","Fairfax County","2229","Daniels Run Elementary","Mathematics","SOL","80.06"
"2018-2019","29","Fairfax County","2204","Deer Park Elementary","Mathematics","SOL","76.42"
"2018-2019","29","Fairfax County","220","Dogwood Elementary","Mathematics","SOL","67.75"
"2018-2019","29","Fairfax County","2010","Dranesville Elementary","Mathematics","SOL","76.00"
"2018-2019","29","Fairfax County","2243","Eagle View Elementary","Mathematics","SOL","79.29"
"2018-2019","29","Fairfax County","1270","Edison High","Mathematics","SOL","83.26"
"2018-2019","29","Fairfax County","190","Fairfax County Adult High","Mathematics","SOL","16.45"
"2018-2019","29","Fairfax County","20","Fairfax High","Mathematics","SOL","85.81"
"2018-2019","29","Fairfax County","1480","Fairfax Villa Elementary","Mathematics","SOL","81.27"
"2018-2019","29","Fairfax County","1630","Fairhill Elementary","Mathematics","SOL","92.31"
"2018-2019","29","Fairfax County","290","Fairview Elementary","Mathematics","SOL","90.07"
"2018-2019","29","Fairfax County","1100","Falls Church High","Mathematics","SOL","78.23"
"2018-2019","29","Fairfax County","730","Flint Hill Elementary","Mathematics","SOL","94.31"
"2018-2019","29","Fairfax County","740","Floris Elementary","Mathematics","SOL","93.54"
"2018-2019","29","Fairfax County","70","Forest Edge Elementary","Mathematics","SOL","82.64"
"2018-2019","29","Fairfax County","1450","Forestdale Elementary","Mathematics","SOL","80.84"
"2018-2019","29","Fairfax County","370","Forestville Elementary","Mathematics","SOL","95.76"
"2018-2019","29","Fairfax County","2224","Fort Belvoir Elementary","Mathematics","SOL","80.00"
"2018-2019","29","Fairfax County","2458","Fort Belvoir Upper","Mathematics","SOL","70.21"
"2018-2019","29","Fairfax County","1920","Fort Hunt Elementary","Mathematics","SOL","87.86"
"2018-2019","29","Fairfax County","390","Fox Mill Elementary","Mathematics","SOL","95.99"
"2018-2019","29","Fairfax County","320","Franconia Elementary","Mathematics","SOL","82.41"
"2018-2019","29","Fairfax County","440","Franklin Middle","Mathematics","SOL","95.03"
"2018-2019","29","Fairfax County","490","Freedom Hill Elementary","Mathematics","SOL","80.99"
"2018-2019","29","Fairfax County","1410","Frost Middle","Mathematics","SOL","94.39"
"2018-2019","29","Fairfax County","630","Garfield Elementary","Mathematics","SOL","59.28"
"2018-2019","29","Fairfax County","1170","Glasgow Middle","Mathematics","SOL","78.76"
"2018-2019","29","Fairfax County","970","Glen Forest Elementary","Mathematics","SOL","77.60"
"2018-2019","29","Fairfax County","530","Graham Road Elementary","Mathematics","SOL","71.36"
"2018-2019","29","Fairfax County","570","Great Falls Elementary","Mathematics","SOL","93.91"
"2018-2019","29","Fairfax County","1840","Greenbriar East Elementary","Mathematics","SOL","82.66"
"2018-2019","29","Fairfax County","1500","Greenbriar West Elementary","Mathematics","SOL","92.90"
"2018-2019","29","Fairfax County","330","Groveton Elementary","Mathematics","SOL","72.07"
"2018-2019","29","Fairfax County","690","Gunston Elementary","Mathematics","SOL","89.16"
"2018-2019","29","Fairfax County","2210","Halley Elementary","Mathematics","SOL","70.88"
"2018-2019","29","Fairfax County","750","Haycock Elementary","Mathematics","SOL","96.33"
"2018-2019","29","Fairfax County","1740","Hayfield Elementary","Mathematics","SOL","84.80"
"2018-2019","29","Fairfax County","1800","Hayfield Secondary","Mathematics","SOL","81.17"
"2018-2019","29","Fairfax County","1250","Herndon Elementary","Mathematics","SOL","67.57"
"2018-2019","29","Fairfax County","32","Herndon High","Mathematics","SOL","79.87"
"2018-2019","29","Fairfax County","33","Herndon Middle","Mathematics","SOL","68.95"
"2018-2019","29","Fairfax County","1330","Hollin Meadows Elementary","Mathematics","SOL","64.96"
"2018-2019","29","Fairfax County","1521","Holmes Middle","Mathematics","SOL","73.57"
"2018-2019","29","Fairfax County","350","Hughes Middle","Mathematics","SOL","80.85"
"2018-2019","29","Fairfax County","1880","Hunt Valley Elementary","Mathematics","SOL","93.86"
"2018-2019","29","Fairfax County","1950","Hunters Woods Elementary School for the Arts and Sciences","Mathematics","SOL","85.04"
"2018-2019","29","Fairfax County","1980","Hutchison Elementary","Mathematics","SOL","66.60"
"2018-2019","29","Fairfax County","1420","Hybla Valley Elementary","Mathematics","SOL","81.39"
"2018-2019","29","Fairfax County","1120","Irving Middle","Mathematics","SOL","92.17"
"2018-2019","29","Fairfax County","2235","Island Creek Elementary","Mathematics","SOL","90.02"
"2018-2019","29","Fairfax County","673","Jackson Middle","Mathematics","SOL","85.39"
"2018-2019","29","Fairfax County","1070","Justice High","Mathematics","SOL","78.52"
"2018-2019","29","Fairfax County","1240","Keene Mill Elementary","Mathematics","SOL","95.69"
"2018-2019","29","Fairfax County","980","Kent Gardens Elementary","Mathematics","SOL","97.08"
"2018-2019","29","Fairfax County","1900","Key Middle","Mathematics","SOL","78.51"
"2018-2019","29","Fairfax County","1760","Kilmer Middle","Mathematics","SOL","91.32"
"2018-2019","29","Fairfax County","1890","Kings Glen Elementary","Mathematics","SOL","92.11"
"2018-2019","29","Fairfax County","1440","Kings Park Elementary","Mathematics","SOL","88.28"
"2018-2019","29","Fairfax County","1570","Lake Anne Elementary","Mathematics","SOL","76.53"
"2018-2019","29","Fairfax County","90","Lake Braddock Secondary","Mathematics","SOL","92.17"
"2018-2019","29","Fairfax County","2209","Lane Elementary","Mathematics","SOL","88.60"
"2018-2019","29","Fairfax County","1460","Langley High","Mathematics","SOL","94.88"
"2018-2019","29","Fairfax County","1110","Lanier Middle","Mathematics","SOL","84.48"
"2018-2019","29","Fairfax County","2348","Laurel Hill Elementary","Mathematics","SOL","87.29"
"2018-2019","29","Fairfax County","1970","Laurel Ridge Elementary","Mathematics","SOL","89.13"
"2018-2019","29","Fairfax County","1020","Lee High","Mathematics","SOL","70.82"
"2018-2019","29","Fairfax County","1850","Lees Corner Elementary","Mathematics","SOL","90.42"
"2018-2019","29","Fairfax County","770","Lemon Road Elementary","Mathematics","SOL","91.13"
"2018-2019","29","Fairfax County","2233","Liberty Middle","Mathematics","SOL","94.29"
"2018-2019","29","Fairfax County","1400","Little Run Elementary","Mathematics","SOL","88.62"
"2018-2019","29","Fairfax County","1830","London Towne Elementary","Mathematics","SOL","76.00"
"2018-2019","29","Fairfax County","1150","Longfellow Middle","Mathematics","SOL","96.92"
"2018-2019","29","Fairfax County","2236","Lorton Station Elementary","Mathematics","SOL","78.77"
"2018-2019","29","Fairfax County","890","Lynbrook Elementary","Mathematics","SOL","70.31"
"2018-2019","29","Fairfax County","1060","Madison High","Mathematics","SOL","90.28"
"2018-2019","29","Fairfax County","1210","Mantua Elementary","Mathematics","SOL","93.81"
"2018-2019","29","Fairfax County","1290","Marshall High","Mathematics","SOL","92.15"
"2018-2019","29","Fairfax County","1200","Marshall Road Elementary","Mathematics","SOL","82.06"
"2018-2019","29","Fairfax County","2410","Mason Crest Elementary","Mathematics","SOL","85.20"
"2018-2019","29","Fairfax County","790","McLean High","Mathematics","SOL","94.23"
"2018-2019","29","Fairfax County","2231","McNair Elementary","Mathematics","SOL","91.92"
"2018-2019","29","Fairfax County","1390","Mosby Woods Elementary","Mathematics","SOL","97.91"
"2018-2019","29","Fairfax County","510","Mount Eagle Elementary","Mathematics","SOL","60.75"
"2018-2019","29","Fairfax County","420","Mount Vernon High","Mathematics","SOL","66.03"
"2018-2019","29","Fairfax County","1640","Mount Vernon Woods Elementary","Mathematics","SOL","68.31"
"2018-2019","29","Fairfax County","2211","Mountain View High","Mathematics","SOL","81.20"
"2018-2019","29","Fairfax County","800","Navy Elementary","Mathematics","SOL","97.43"
"2018-2019","29","Fairfax County","470","Newington Forest Elementary","Mathematics","SOL","87.63"
"2018-2019","29","Fairfax County","930","North Springfield Elementary","Mathematics","SOL","86.12"
"2018-2019","29","Fairfax County","430","Oak Hill Elementary","Mathematics","SOL","93.81"
"2018-2019","29","Fairfax County","1860","Oak View Elementary","Mathematics","SOL","92.68"
"2018-2019","29","Fairfax County","140","Oakton Elementary","Mathematics","SOL","95.38"
"2018-2019","29","Fairfax County","1710","Oakton High","Mathematics","SOL","91.43"
"2018-2019","29","Fairfax County","1650","Olde Creek Elementary","Mathematics","SOL","88.09"
"2018-2019","29","Fairfax County","150","Orange Hunt Elementary","Mathematics","SOL","86.27"
"2018-2019","29","Fairfax County","1030","Parklawn Elementary","Mathematics","SOL","67.01"
"2018-2019","29","Fairfax County","820","Pine Spring Elementary","Mathematics","SOL","77.12"
"2018-2019","29","Fairfax County","1130","Poe Middle","Mathematics","SOL","66.51"
"2018-2019","29","Fairfax County","2080","Poplar Tree Elementary","Mathematics","SOL","99.36"
"2018-2019","29","Fairfax County","2237","Powell Elementary","Mathematics","SOL","92.45"
"2018-2019","29","Fairfax County","2230","Providence Elementary","Mathematics","SOL","85.37"
"2018-2019","29","Fairfax County","1310","Ravensworth Elementary","Mathematics","SOL","89.24"
"2018-2019","29","Fairfax County","1820","Riverside Elementary","Mathematics","SOL","75.16"
"2018-2019","29","Fairfax County","1960","Robinson Secondary","Mathematics","SOL","92.23"
"2018-2019","29","Fairfax County","300","Rocky Run Middle","Mathematics","SOL","93.77"
"2018-2019","29","Fairfax County","1770","Rolling Valley Elementary","Mathematics","SOL","84.30"
"2018-2019","29","Fairfax County","950","Rose Hill Elementary","Mathematics","SOL","78.46"
"2018-2019","29","Fairfax County","1300","Sandburg Middle","Mathematics","SOL","76.20"
"2018-2019","29","Fairfax County","2030","Sangster Elementary","Mathematics","SOL","98.42"
"2018-2019","29","Fairfax County","2040","Saratoga Elementary","Mathematics","SOL","78.99"
"2018-2019","29","Fairfax County","80","Sherman Elementary","Mathematics","SOL","96.39"
"2018-2019","29","Fairfax County","1660","Shrevewood Elementary","Mathematics","SOL","86.58"
"2018-2019","29","Fairfax County","1680","Silverbrook Elementary","Mathematics","SOL","92.59"
"2018-2019","29","Fairfax County","710","Sleepy Hollow Elementary","Mathematics","SOL","81.05"
"2018-2019","29","Fairfax County","2241","South County High","Mathematics","SOL","84.24"
"2018-2019","29","Fairfax County","2420","South County Middle","Mathematics","SOL","90.56"
"2018-2019","29","Fairfax County","1990","South Lakes High","Mathematics","SOL","83.40"
"2018-2019","29","Fairfax County","1620","Spring Hill Elementary","Mathematics","SOL","97.19"
"2018-2019","29","Fairfax County","960","Springfield Estates Elementary","Mathematics","SOL","96.78"
"2018-2019","29","Fairfax County","1380","Stenwood Elementary","Mathematics","SOL","95.07"
"2018-2019","29","Fairfax County","2070","Stone Middle","Mathematics","SOL","91.60"
"2018-2019","29","Fairfax County","1350","Stratford Landing Elementary","Mathematics","SOL","88.76"
"2018-2019","29","Fairfax County","280","Sunrise Valley Elementary","Mathematics","SOL","95.39"
"2018-2019","29","Fairfax County","170","Terra Centre Elementary","Mathematics","SOL","95.07"
"2018-2019","29","Fairfax County","250","Terraset Elementary","Mathematics","SOL","84.01"
"2018-2019","29","Fairfax County","1371","Thomas Jefferson High for Science and Technology","Mathematics","SOL","100.00"
"2018-2019","29","Fairfax County","1140","Thoreau Middle","Mathematics","SOL","90.98"
"2018-2019","29","Fairfax County","830","Timber Lane Elementary","Mathematics","SOL","78.19"
"2018-2019","29","Fairfax County","1160","Twain Middle","Mathematics","SOL","86.09"
"2018-2019","29","Fairfax County","1540","Union Mill Elementary","Mathematics","SOL","92.92"
"2018-2019","29","Fairfax County","120","Vienna Elementary","Mathematics","SOL","92.31"
"2018-2019","29","Fairfax County","2050","Virginia Run Elementary","Mathematics","SOL","75.21"
"2018-2019","29","Fairfax County","850","Wakefield Forest Elementary","Mathematics","SOL","94.72"
"2018-2019","29","Fairfax County","2100","Waples Mill Elementary","Mathematics","SOL","90.59"
"2018-2019","29","Fairfax County","1320","Washington Mill Elementary","Mathematics","SOL","71.34"
"2018-2019","29","Fairfax County","1080","Waynewood Elementary","Mathematics","SOL","94.07"
"2018-2019","29","Fairfax County","900","West Potomac High","Mathematics","SOL","73.01"
"2018-2019","29","Fairfax County","1430","West Springfield Elementary","Mathematics","SOL","95.36"
"2018-2019","29","Fairfax County","1610","West Springfield High","Mathematics","SOL","96.39"
"2018-2019","29","Fairfax County","1580","Westbriar Elementary","Mathematics","SOL","96.47"
"2018-2019","29","Fairfax County","2228","Westfield High","Mathematics","SOL","85.49"
"2018-2019","29","Fairfax County","1670","Westgate Elementary","Mathematics","SOL","88.89"
"2018-2019","29","Fairfax County","580","Westlawn Elementary","Mathematics","SOL","76.04"
"2018-2019","29","Fairfax County","520","Weyanoke Elementary","Mathematics","SOL","55.36"
"2018-2019","29","Fairfax County","400","White Oaks Elementary","Mathematics","SOL","87.70"
"2018-2019","29","Fairfax County","1550","Whitman Middle","Mathematics","SOL","67.15"
"2018-2019","29","Fairfax County","2060","Willow Springs Elementary","Mathematics","SOL","94.37"
"2018-2019","29","Fairfax County","1810","Wolftrap Elementary","Mathematics","SOL","97.19"
"2018-2019","29","Fairfax County","650","Woodburn Elementary","Mathematics","SOL","72.54"
"2018-2019","29","Fairfax County","380","Woodlawn Elementary","Mathematics","SOL","66.44"
"2018-2019","29","Fairfax County","590","Woodley Hills Elementary","Mathematics","SOL","65.36"
"2018-2019","29","Fairfax County","1260","Woodson High","Mathematics","SOL","94.81"
"2018-2019","109","Falls Church City","251","George Mason High","Mathematics","SOL","88.22"
"2018-2019","109","Falls Church City","252","Mary Ellen Henderson Middle","Mathematics","SOL","89.24"
"2018-2019","109","Falls Church City","260","Thomas Jefferson Elementary","Mathematics","SOL","93.58"
"2018-2019","30","Fauquier County","854","Auburn Middle","Mathematics","SOL","90.47"
"2018-2019","30","Fauquier County","460","C. Hunter Ritchie Elementary","Mathematics","SOL","88.32"
"2018-2019","30","Fauquier County","730","C.M. Bradley Elementary","Mathematics","SOL","86.50"
"2018-2019","30","Fauquier County","520","Cedar Lee Middle","Mathematics","SOL","74.49"
"2018-2019","30","Fauquier County","120","Claude Thompson Elementary","Mathematics","SOL","83.33"
"2018-2019","30","Fauquier County","701","Fauquier High","Mathematics","SOL","79.34"
"2018-2019","30","Fauquier County","450","Grace Miller Elementary","Mathematics","SOL","87.34"
"2018-2019","30","Fauquier County","511","Greenville Elementary","Mathematics","SOL","90.17"
"2018-2019","30","Fauquier County","750","H.M. Pearson Elementary","Mathematics","SOL","71.43"
"2018-2019","30","Fauquier County","853","James G. Brumfield Elementary","Mathematics","SOL","73.44"
"2018-2019","30","Fauquier County","510","Kettle Run High","Mathematics","SOL","77.40"
"2018-2019","30","Fauquier County","851","Liberty High","Mathematics","SOL","61.54"
"2018-2019","30","Fauquier County","530","Margaret M. Pierce Elementary","Mathematics","SOL","74.64"
"2018-2019","30","Fauquier County","10","Marshall Middle","Mathematics","SOL","82.61"
"2018-2019","30","Fauquier County","20","Mary Walter Elementary","Mathematics","SOL","76.71"
"2018-2019","30","Fauquier County","720","P.B. Smith Elementary","Mathematics","SOL","92.97"
"2018-2019","30","Fauquier County","670","W.C. Taylor Middle","Mathematics","SOL","81.09"
"2018-2019","30","Fauquier County","740","W.G. Coleman Elementary","Mathematics","SOL","68.09"
"2018-2019","30","Fauquier County","660","Warrenton Middle","Mathematics","SOL","82.84"
"2018-2019","31","Floyd County","90","Check Elementary","Mathematics","SOL","72.68"
"2018-2019","31","Floyd County","660","Floyd County High","Mathematics","SOL","86.05"
"2018-2019","31","Floyd County","360","Floyd Elementary","Mathematics","SOL","74.68"
"2018-2019","31","Floyd County","650","Indian Valley Elementary","Mathematics","SOL","88.37"
"2018-2019","31","Floyd County","500","Willis Elementary","Mathematics","SOL","90.83"
"2018-2019","32","Fluvanna County","300","Carysbrook Elementary","Mathematics","SOL","85.39"
"2018-2019","32","Fluvanna County","260","Fluvanna County High","Mathematics","SOL","83.22"
"2018-2019","32","Fluvanna County","320","Fluvanna Middle","Mathematics","SOL","84.12"
"2018-2019","135","Franklin City","20","Franklin High","Mathematics","SOL","57.67"
"2018-2019","135","Franklin City","561","Joseph P. King Jr. Middle","Mathematics","SOL","82.35"
"2018-2019","135","Franklin City","10","S.P. Morton Elementary","Mathematics","SOL","67.36"
"2018-2019","33","Franklin County","32","Benjamin Franklin Middle-East","Mathematics","SOL","80.31"
"2018-2019","33","Franklin County","31","Benjamin Franklin Middle-West","Mathematics","SOL","86.90"
"2018-2019","33","Franklin County","1370","Boones Mill Elementary","Mathematics","SOL","92.64"
"2018-2019","33","Franklin County","1320","Burnt Chimney Elementary","Mathematics","SOL","90.23"
"2018-2019","33","Franklin County","350","Callaway Elementary","Mathematics","SOL","87.74"
"2018-2019","33","Franklin County","20","Dudley Elementary","Mathematics","SOL","87.42"
"2018-2019","33","Franklin County","1360","Ferrum Elementary","Mathematics","SOL","81.31"
"2018-2019","33","Franklin County","1311","Franklin County High","Mathematics","SOL","85.00"
"2018-2019","33","Franklin County","1481","Gereau Center for Applied Technology & Career Exploration","Mathematics","SOL","87.09"
"2018-2019","33","Franklin County","690","Glade Hill Elementary","Mathematics","SOL","85.59"
"2018-2019","33","Franklin County","10","Henry Elementary","Mathematics","SOL","93.68"
"2018-2019","33","Franklin County","660","Lee M. Waid Elementary","Mathematics","SOL","86.83"
"2018-2019","33","Franklin County","1380","Rocky Mount Elementary","Mathematics","SOL","85.29"
"2018-2019","33","Franklin County","1170","Snow Creek Elementary","Mathematics","SOL","91.92"
"2018-2019","33","Franklin County","960","Sontag Elementary","Mathematics","SOL","85.26"
"2018-2019","33","Franklin County","980","Windy Gap Elementary","Mathematics","SOL","87.42"
"2018-2019","34","Frederick County","586","Admiral Richard E. Byrd Middle","Mathematics","SOL","86.09"
"2018-2019","34","Frederick County","10","Apple Pie Ridge Elementary","Mathematics","SOL","81.94"
"2018-2019","34","Frederick County","320","Armel Elementary","Mathematics","SOL","78.55"
"2018-2019","34","Frederick County","20","Bass-Hoover Elementary","Mathematics","SOL","77.44"
"2018-2019","34","Frederick County","587","Evendale Elementary","Mathematics","SOL","80.67"
"2018-2019","34","Frederick County","460","Frederick County Middle","Mathematics","SOL","79.07"
"2018-2019","34","Frederick County","380","Gainesboro Elementary","Mathematics","SOL","78.11"
"2018-2019","34","Frederick County","590","Greenwood Mill Elementary","Mathematics","SOL","83.65"
"2018-2019","34","Frederick County","40","Indian Hollow Elementary","Mathematics","SOL","67.16"
"2018-2019","34","Frederick County","30","James Wood High","Mathematics","SOL","85.63"
"2018-2019","34","Frederick County","420","James Wood Middle","Mathematics","SOL","69.90"
"2018-2019","34","Frederick County","340","Middletown Elementary","Mathematics","SOL","85.46"
"2018-2019","34","Frederick County","584","Millbrook High","Mathematics","SOL","73.58"
"2018-2019","34","Frederick County","583","Orchard View Elementary","Mathematics","SOL","82.43"
"2018-2019","34","Frederick County","582","Redbud Run Elementary","Mathematics","SOL","74.22"
"2018-2019","34","Frederick County","480","Robert E. Aylor Middle","Mathematics","SOL","80.23"
"2018-2019","34","Frederick County","581","Sherando High","Mathematics","SOL","85.63"
"2018-2019","34","Frederick County","410","Stonewall Elementary","Mathematics","SOL","71.56"
"2018-2019","110","Fredericksburg City","40","James Monroe High","Mathematics","SOL","58.33"
"2018-2019","110","Fredericksburg City","272","Lafayette Upper Elementary","Mathematics","SOL","64.93"
"2018-2019","110","Fredericksburg City","273","Walker-Grant Middle","Mathematics","SOL","58.28"
"2018-2019","111","Galax City","10","Galax Elementary","Mathematics","SOL","89.20"
"2018-2019","111","Galax City","31","Galax High","Mathematics","SOL","84.82"
"2018-2019","111","Galax City","32","Galax Middle","Mathematics","SOL","90.18"
"2018-2019","35","Giles County","10","Eastern Elementary/Middle","Mathematics","SOL","86.89"
"2018-2019","35","Giles County","461","Giles High","Mathematics","SOL","80.15"
"2018-2019","35","Giles County","390","Macy Mcclaugherty Elementary/Middle","Mathematics","SOL","81.46"
"2018-2019","35","Giles County","400","Narrows Elementary/Middle","Mathematics","SOL","84.87"
"2018-2019","35","Giles County","470","Narrows High","Mathematics","SOL","76.60"
"2018-2019","36","Gloucester County","250","Abingdon Elementary","Mathematics","SOL","87.41"
"2018-2019","36","Gloucester County","240","Achilles Elementary","Mathematics","SOL","88.15"
"2018-2019","36","Gloucester County","381","Bethel Elementary","Mathematics","SOL","92.74"
"2018-2019","36","Gloucester County","100","Botetourt Elementary","Mathematics","SOL","94.63"
"2018-2019","36","Gloucester County","260","Gloucester High","Mathematics","SOL","84.17"
"2018-2019","36","Gloucester County","802","Page Middle","Mathematics","SOL","84.33"
"2018-2019","36","Gloucester County","280","Peasley Middle","Mathematics","SOL","84.06"
"2018-2019","36","Gloucester County","270","Petsworth Elementary","Mathematics","SOL","89.44"
"2018-2019","37","Goochland County","120","Byrd Elementary","Mathematics","SOL","94.70"
"2018-2019","37","Goochland County","360","Goochland Elementary","Mathematics","SOL","85.99"
"2018-2019","37","Goochland County","220","Goochland High","Mathematics","SOL","81.18"
"2018-2019","37","Goochland County","340","Goochland Middle","Mathematics","SOL","81.88"
"2018-2019","37","Goochland County","260","Randolph Elementary","Mathematics","SOL","83.00"
"2018-2019","38","Grayson County","480","Fairview Elementary","Mathematics","SOL","96.49"
"2018-2019","38","Grayson County","911","Fries Elementary","Mathematics","SOL","86.03"
"2018-2019","38","Grayson County","421","Grayson County High","Mathematics","SOL","84.85"
"2018-2019","38","Grayson County","430","Grayson Highlands","Mathematics","SOL","92.86"
"2018-2019","38","Grayson County","422","Independence Elementary","Mathematics","SOL","90.98"
"2018-2019","38","Grayson County","11","Independence Middle","Mathematics","SOL","85.98"
"2018-2019","39","Greene County","20","Nathanael Greene Elementary","Mathematics","SOL","78.57"
"2018-2019","39","Greene County","30","Ruckersville Elementary","Mathematics","SOL","76.25"
